ExpName,ExpNo,Epoch,ReconstLoss,TotalVQLoss,TotalDirichletLoss,TotalConceptLoss,TotalLoss,Perplexity
model_,0,1,417.4699722782258,0.3856159308648879,0.0,0.0,417.8555868825605,3355.02221370601
model_,0,2,404.86585748487903,0.5554867664460212,0.0,0.0,405.42134497857865,2625.7221941159864
model_,0,3,397.4993277469758,1.0378181605185233,0.0,0.0,398.5371449722782,2275.283838250334
model_,0,4,392.4394269783266,1.0944590833110195,0.0,0.0,393.53388687626006,2062.0669553054086
model_,0,5,388.35304214969756,1.142787879205519,0.0,0.0,389.4958292905746,1904.5468579335381
model_,0,6,385.91974609375,1.098272739533455,0.0,0.0,387.0180213583669,1816.5256545647994
model_,0,7,383.57114163306454,1.2443109401579826,0.0,0.0,384.8154507938508,1735.4282491466076
model_,0,8,381.19425560735885,1.3859111958165322,0.0,0.0,382.58016412550404,1657.0398035357553
model_,0,9,379.2023147681452,1.3830051545173891,0.0,0.0,380.5853184853831,1594.080428713245
model_,0,10,376.5887468497984,1.513819860642956,0.0,0.0,378.10256741431454,1515.0872299959622
model_,0,11,374.62649130544355,1.6686847465269028,0.0,0.0,376.29517861643143,1458.3629774658507
model_,0,12,373.4888038684476,1.607957064720892,0.0,0.0,375.09676474294355,1426.4528470289363
model_,0,13,371.85444052419354,1.6518829542590725,0.0,0.0,373.50632591985885,1381.8299121063899
model_,0,14,370.75914235761087,1.6939777497322328,0.0,0.0,372.45311806955647,1352.7089790611196
model_,0,15,369.4213837260585,1.7417149992912047,0.0,0.0,371.16309601814515,1317.9729099011308
model_,0,16,368.13973664314517,1.7923896691106982,0.0,0.0,369.9321279611895,1285.5307762325901
model_,0,17,367.75120416456656,1.8023886354507939,0.0,0.0,369.55359311995966,1275.8545632051507
model_,0,18,366.69237367691534,1.7743732427781629,0.0,0.0,368.46674836189516,1249.8530035625581
model_,0,19,366.34793898059473,1.7922419049662928,0.0,0.0,368.1401817666331,1241.5095195943006
model_,0,20,365.4359986139113,1.8775120692099294,0.0,0.0,367.3135074344758,1219.6869154443762
model_,0,21,365.00136435231855,1.8125023232736894,0.0,0.0,366.81386624243953,1209.4215710770145
model_,0,22,364.479675686744,1.8023588020570815,0.0,0.0,366.2820323525706,1197.2141682126542
model_,0,23,363.92826345136086,1.8269061082409275,0.0,0.0,365.75517058341734,1184.445161456428
model_,0,24,363.6047901965726,1.863629362044796,0.0,0.0,365.4684195438508,1177.017991554114
model_,0,25,363.196402312248,1.8834514347199471,0.0,0.0,365.0798522555444,1167.7076024877274
model_,0,26,362.5234872731855,1.916501961984942,0.0,0.0,364.43998976184474,1152.526924728531
model_,0,27,362.3152586315524,1.8936196850192162,0.0,0.0,364.20888010332663,1147.8694791213413
model_,0,28,362.05487840221775,1.980368913219821,0.0,0.0,364.0352482358871,1142.0720331977238
model_,0,29,361.6164812247984,1.9134751695202243,0.0,0.0,363.529955109627,1132.3770607539832
model_,0,30,361.1044209929436,1.942042221561555,0.0,0.0,363.04646200856854,1121.1572155005847
model_,0,31,361.07703093497986,1.9605996950211064,0.0,0.0,363.0376285282258,1120.5602090171292
model_,0,32,360.83632119455643,1.9404670518444431,0.0,0.0,362.77678994455647,1115.3272413799546
model_,0,33,360.3896887600807,1.9862267672631049,0.0,0.0,362.3759154485887,1105.6822204147893
model_,0,34,360.23929498487905,1.9498429476830268,0.0,0.0,362.1891374747984,1102.4532764382302
model_,0,35,360.24802608366934,2.0060642906927293,0.0,0.0,362.2540946320565,1102.6404744356994
model_,0,36,359.6648705267137,1.9735355451030117,0.0,0.0,361.63841103830646,1090.2069737388601
model_,0,37,359.5726513671875,1.9912352432743197,0.0,0.0,361.56388656123994,1088.2536420523404
model_,0,38,359.5652620967742,2.0327521736391128,0.0,0.0,361.59801427041333,1088.0972784303935
model_,0,39,358.8506735131048,1.9799327087402343,0.0,0.0,360.83060515372983,1073.081597268961
model_,0,40,358.9329174017137,1.9981298532793599,0.0,0.0,360.93104602444555,1074.799185101539
model_,0,41,358.8240196572581,1.987462182814075,0.0,0.0,360.8114842174899,1072.5255451756236
model_,0,42,358.5642014238911,2.030491190264302,0.0,0.0,360.59469458795365,1067.1202945687673
model_,0,43,358.6545786605343,2.038140608264554,0.0,0.0,360.69272177419356,1068.9974030139929
model_,0,44,358.383123109879,1.9995574458952874,0.0,0.0,360.3826798765121,1063.3692636629132
model_,0,45,358.169122983871,1.9906623938775831,0.0,0.0,360.1597879914315,1058.9532539169422
model_,0,46,358.1958609501008,2.0142193062074725,0.0,0.0,360.2100765498992,1059.5040023946092
model_,0,47,358.10194745463707,2.0429034473050027,0.0,0.0,360.1448522555444,1057.5708355677066
model_,0,48,357.8139993384577,2.0558435747700354,0.0,0.0,359.86984248991934,1051.6655134388875
model_,0,49,357.82155084425403,2.0235653637301536,0.0,0.0,359.8451163999496,1051.819960025832
model_,0,50,357.7548387096774,2.0607169465095767,0.0,0.0,359.815556640625,1050.4563197962277
model_,0,51,358.10512002268143,2.050121115407636,0.0,0.0,360.1552389427923,1057.6360838439582
model_,0,52,357.6014787046371,2.0323165745888985,0.0,0.0,359.6337941028226,1047.3282393341428
model_,0,53,357.46793346774194,2.0202320714150708,0.0,0.0,359.48816280241937,1044.6119085683322
model_,0,54,357.48877772177417,2.0549820192398562,0.0,0.0,359.54376023815524,1045.0354194624674
model_,0,55,357.160716828377,2.056349890924269,0.0,0.0,359.21706668976816,1038.3897896752542
model_,0,56,357.33134765625,2.0428978113974297,0.0,0.0,359.37424599924395,1041.8410193548327
model_,0,57,357.3154958417339,2.029266116234564,0.0,0.0,359.34476168724797,1041.5199131235363
model_,0,58,357.1707047001008,2.0822022911810105,0.0,0.0,359.25290810861895,1038.5914919407373
model_,0,59,357.0368882308468,2.046054003315587,0.0,0.0,359.08294213079637,1035.8923568669015
model_,0,60,357.1859211189516,2.041158722908266,0.0,0.0,359.22707724294355,1038.898858563536
model_,0,61,356.7931149193548,2.054592550954511,0.0,0.0,358.84770791330646,1030.9933612938023
model_,0,62,356.75119014616934,2.0253933322045112,0.0,0.0,358.7765845514113,1030.1531571835653
model_,0,63,356.5276121471774,2.042773850963962,0.0,0.0,358.57038684475805,1025.6840338684995
model_,0,64,356.8129274823589,2.0510164568501135,0.0,0.0,358.863947360131,1031.3906584250249
model_,0,65,356.52129189768146,2.054859860327936,0.0,0.0,358.5761496660786,1025.5579799460352
model_,0,66,356.96529800907257,2.0317563949092743,0.0,0.0,358.9970570816532,1034.4512330267303
model_,0,67,356.3027898185484,2.0607259491951235,0.0,0.0,358.36351436491935,1021.2095879656555
model_,0,68,356.0933033014113,2.075710951282132,0.0,0.0,358.169013671875,1017.0579268388542
model_,0,69,356.43562626008065,2.0482601731823338,0.0,0.0,358.48388608870965,1023.8509528492052
model_,0,70,356.2974365234375,2.0274329450053554,0.0,0.0,358.3248681640625,1021.1032841878784
model_,0,71,356.27060672883067,2.055401877126386,0.0,0.0,358.32600885206654,1020.570674616726
model_,0,72,356.33453077746975,2.056349039385396,0.0,0.0,358.39088189894153,1021.8401157092826
model_,0,73,355.9018619266633,2.033901116155809,0.0,0.0,357.93576156123993,1013.2786510915171
model_,0,74,356.3399861391129,2.061276328794418,0.0,0.0,358.4012586630544,1021.9485245662457
model_,0,75,356.30184696320566,2.0198185434649067,0.0,0.0,358.32166803175403,1021.1908642859502
model_,0,76,356.0056218497984,2.0693841454290576,0.0,0.0,358.07500267767136,1015.3252464674437
model_,0,77,356.08656202746977,2.044045607043851,0.0,0.0,358.1306056262601,1016.9246071064431
model_,0,78,355.88767578125,2.0718753593198715,0.0,0.0,357.95954810357864,1012.9991595737984
model_,0,79,355.9332399823589,2.0816026306152344,0.0,0.0,358.0148428049395,1013.8971268236379
model_,0,80,356.299345703125,2.0779793720860633,0.0,0.0,358.37732642389113,1021.1411947107755
model_,0,81,355.8425853704637,2.082177197856288,0.0,0.0,357.9247604271673,1012.111312592341
model_,0,82,355.9094562752016,2.123015722459362,0.0,0.0,358.03247306577623,1013.4283045373631
model_,0,83,355.82208921370966,2.092630191926033,0.0,0.0,357.91471963205646,1011.7079929238876
model_,0,84,355.7569137474798,2.0820981671733243,0.0,0.0,357.8390114667339,1010.4265496809797
model_,0,85,355.58231886340724,2.0317078030493954,0.0,0.0,357.614027375252,1007.0017557465636
